root                	MainThread	DEBUG   	Config {'access_logs_debug': False, 'access_log_class': <class 'aiohttp.web_log.AccessLogger'>, 'advertised_hostname': None, 'advertised_port': None, 'advertised_protocol': 'http', 'bootstrap_uri': 'localhost:9092', 'sasl_bootstrap_uri': None, 'client_id': 'sr-1', 'compatibility': 'BACKWARD', 'connections_max_idle_ms': 15000, 'consumer_enable_auto_commit': True, 'consumer_request_timeout_ms': 11000, 'consumer_request_max_bytes': 67108864, 'consumer_idle_disconnect_timeout': 0, 'fetch_min_bytes': 1, 'force_key_correction': False, 'group_id': 'schema-registry', 'http_request_max_size': None, 'host': '127.0.0.1', 'port': 8081, 'server_tls_certfile': None, 'server_tls_keyfile': '****', 'server_tls_cafile': None, 'registry_scheme': 'http', 'registry_host': 'karapace-schema-registry', 'registry_port': 8081, 'registry_user': None, 'registry_password': '****', 'registry_ca': None, 'registry_authfile': None, 'rest_authorization': False, 'rest_base_uri': None, 'log_handler': 'stdout', 'log_level': 'DEBUG', 'log_format': '%(name)-20s\t%(threadName)s\t%(levelname)-8s\t%(message)s', 'master_eligibility': True, 'replication_factor': 1, 'security_protocol': 'PLAINTEXT', 'ssl_ciphers': None, 'ssl_cafile': None, 'ssl_certfile': None, 'ssl_keyfile': '****', 'ssl_check_hostname': True, 'ssl_crlfile': None, 'ssl_password': '****', 'sasl_mechanism': None, 'sasl_oauthbearer_authorization_enabled': False, 'sasl_oauthbearer_jwks_endpoint_url': None, 'sasl_oauthbearer_expected_issuer': None, 'sasl_oauthbearer_expected_audience': None, 'sasl_oauthbearer_sub_claim_name': 'sub', 'sasl_oauthbearer_client_id': None, 'sasl_oauthbearer_roles_claim_path': None, 'sasl_oauthbearer_method_roles': {'GET': [], 'POST': [], 'PUT': [], 'DELETE': []}, 'sasl_oauthbearer_skip_auth_paths': ['/_health', '/metrics'], 'sasl_plain_username': None, 'sasl_plain_password': '****', 'sasl_oauth_token': None, 'topic_name': '_schemas', 'metadata_max_age_ms': 60000, 'admin_metadata_max_age': 5, 'producer_acks': 1, 'producer_compression_type': None, 'producer_count': 5, 'producer_linger_ms': 100, 'producer_max_request_size': 1048576, 'session_timeout_ms': 10000, 'karapace_rest': False, 'karapace_registry': False, 'name_strategy': 'topic_name', 'name_strategy_validation': True, 'master_election_strategy': 'lowest', 'protobuf_runtime_directory': 'runtime', 'statsd_host': None, 'statsd_port': 8125, 'kafka_schema_reader_strict_mode': False, 'kafka_retriable_errors_silenced': True, 'use_protobuf_formatter': False, 'waiting_time_before_acting_as_master_ms': 5000, 'sentry': None, 'tags': {'app': 'Karapace'}, 'telemetry': {'otel_endpoint_url': None, 'otel_traces_exporter': <KarapaceTelemetryOTelExporter.NOOP: 'NOOP'>, 'otel_metrics_exporter': <KarapaceTelemetryOTelExporter.NOOP: 'NOOP'>, 'metrics_export_interval_milliseconds': 10000, 'resource_service_name': 'karapace', 'resource_service_instance_id': 'karapace', 'resource_telemetry_sdk_name': 'opentelemetry', 'resource_telemetry_sdk_language': 'python', 'resource_telemetry_sdk_version': '1.27.0'}}
root                	MainThread	INFO    	Starting Karapace Schema Registry (5.0.3.dev12+g68ba44622)
karapace.api.telemetry.setup	MainThread	INFO    	Setting OTel tracing provider
karapace.api.telemetry.setup	MainThread	INFO    	Setting OTel meter provider
karapace.api.oidc.middleware	MainThread	WARNING 	OIDC middleware initialized without JWKS URL — token validation will be skipped.
karapace.api.telemetry.middleware	MainThread	INFO    	Setting OTel tracing middleware
uvicorn.error       	MainThread	INFO    	Started server process [23331]
uvicorn.error       	MainThread	INFO    	Waiting for application startup.
asyncio             	Thread-1 (_start_loop)	DEBUG   	Using selector: KqueueSelector
uvicorn.error       	MainThread	INFO    	Application startup complete.
aiokafka            	Thread-1 (_start_loop)	DEBUG   	Attempting to bootstrap via node at localhost:9092
uvicorn.error       	MainThread	INFO    	Uvicorn running on http://127.0.0.1:8081 (Press CTRL+C to quit)
aiokafka.conn       	Thread-1 (_start_loop)	DEBUG   	<AIOKafkaConnection host=localhost port=9092> Request 1: MetadataRequest_v0(topics=[])
aiokafka.conn       	Thread-1 (_start_loop)	DEBUG   	<AIOKafkaConnection host=localhost port=9092> Response 1: MetadataResponse_v0(brokers=[(node_id=0, host='localhost', port=9092)], topics=[(error_code=0, topic='testtopic', partitions=[(error_code=0, partition=0, leader=0, replicas=[0], isr=[0]), (error_code=0, partition=1, leader=0, replicas=[0], isr=[0])])])
aiokafka.cluster    	Thread-1 (_start_loop)	DEBUG   	Updated cluster metadata to ClusterMetadata(brokers: 1, topics: 1, groups: 0)
aiokafka.conn       	Thread-1 (_start_loop)	DEBUG   	Closing connection at localhost:9092
aiokafka            	Thread-1 (_start_loop)	DEBUG   	Received cluster metadata: ClusterMetadata(brokers: 1, topics: 1, groups: 0)
aiokafka            	Thread-1 (_start_loop)	DEBUG   	Initiating connection to node 0 at localhost:9092
aiokafka.conn       	Thread-1 (_start_loop)	DEBUG   	<AIOKafkaConnection host=localhost port=9092> Request 1: ApiVersionRequest_v0()
